web_scraper_order,web_scraper_start_url,city,cost_of_living_index,rank,rent_index,cost_of_living_plus_rent_index,groceries_index,restaurant_price_index,local_purchasing_power_index
"1770902482-95","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Treviso, Italy","66.6","95","23.4","47.3","63.6","76.0","77.8"
"1770902482-96","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Lille, France","66.5","96","22.4","46.8","73.9","69.6","133.9"
"1770902482-97","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Bolzano-Bozen, Italy","66.2","97","24.4","47.6","60.6","73.3","101.3"
"1770902482-98","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Liverpool, United Kingdom","66.1","98","27.6","48.9","60.8","75.6","127.2"
"1770902482-99","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Belfast, United Kingdom","65.9","99","26.7","48.4","67.5","74.6","113.4"
"1770902482-100","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Villach, Austria","65.9","100","20.1","45.4","62.4","66.7","119.3"
"1770902482-101","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Grenoble, France","65.9","101","19.7","45.2","70.1","62.4","127.0"
"1770902482-102","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Montpellier, France","65.6","102","21.9","46.1","75.2","61.5","118.7"
"1770902482-103","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Lund, Sweden","65.5","103","23.9","47.0","68.2","69.7","134.1"
"1770902482-104","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Nottingham, United Kingdom","65.4","104","26.3","47.9","64.8","66.4","129.2"
"1770902482-105","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Coventry, United Kingdom","64.8","105","30.6","49.5","66.1","68.9","133.9"
"1770902482-106","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Tallinn, Estonia","64.8","106","20.0","44.8","58.8","70.8","88.0"
"1770902482-107","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Padova, Italy","64.3","107","23.6","46.1","63.6","67.5","85.6"
"1770902482-108","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Trento, Italy","64.0","108","23.8","46.1","59.7","72.5","85.7"
"1770902482-109","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Rome, Italy","63.4","109","34.9","50.7","64.9","63.5","84.3"
"1770902482-110","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Sliema, Malta","63.3","110","39.8","52.8","62.6","71.9","71.4"
"1770902482-111","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Sheffield, United Kingdom","63.1","111","26.3","46.7","56.3","68.4","132.7"
"1770902482-112","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Cagliari, Italy","62.9","112","21.2","44.3","65.8","72.3","80.5"
"1770902482-113","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Leuven, Belgium","62.5","113","29.7","47.8","59.5","69.6","138.2"
"1770902482-114","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Genoa, Italy","62.3","114","20.0","43.4","65.8","65.9","91.6"
"1770902482-115","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Trieste, Italy","61.8","115","19.8","43.0","62.3","63.7","84.7"
"1770902482-116","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Bergamo, Italy","61.2","116","20.0","42.8","61.8","65.5","103.4"
"1770902482-117","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Turin, Italy","60.1","117","19.5","42.0","62.1","62.0","95.3"
"1770902482-118","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Madrid, Spain","60.0","118","36.2","49.4","56.1","63.4","104.1"
"1770902482-119","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Valletta, Malta","60.0","119","35.2","48.9","56.0","67.9","83.9"
"1770902482-120","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Reggio Nell'emilia, Italy","59.8","120","16.9","40.6","60.3","65.3","99.2"
"1770902482-121","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Prague, Czech Republic","59.6","121","32.0","47.3","52.9","50.5","94.2"
"1770902482-122","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Remagen, Germany","59.3","122","15.8","39.9","56.1","49.7","80.7"
"1770902482-123","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Barcelona, Spain","59.2","123","36.0","48.9","56.0","63.8","95.1"
"1770902482-124","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Naples, Italy","59.0","124","25.1","43.9","59.0","61.4","78.6"
"1770902482-125","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Palma de Mallorca, Spain","59.0","125","32.0","47.0","52.1","64.8","85.0"
"1770902482-126","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Split, Croatia","58.6","126","25.7","43.9","53.1","66.3","74.2"
"1770902482-127","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Pisa, Italy","58.2","127","20.2","41.2","61.6","57.4","97.3"
"1770902482-128","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Athens, Greece","57.9","128","18.2","40.2","55.1","62.9","66.1"
"1770902482-129","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Ljubljana, Slovenia","57.4","129","27.2","44.0","52.8","59.0","85.0"
"1770902482-130","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Tartu, Estonia","57.1","130","15.5","38.5","50.0","66.6","96.0"
"1770902482-131","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Bari, Italy","56.4","131","20.8","40.5","57.0","58.1","94.7"
"1770902482-132","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Heraklion, Greece","55.3","132","16.6","38.1","53.9","53.3","62.2"
"1770902482-133","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Riga, Latvia","54.9","133","14.5","36.9","48.4","59.6","82.3"
"1770902482-134","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Bilbao, Spain","54.6","134","26.5","42.0","50.6","62.1","106.3"
